,Title,Views,Date,Duration,Date Detail,View Detail,Number of Likes,Number of Comments
136,Savage Questions,526K views,3 years ago,0:27,"Dec 6, 2018","526,902",2800,739
137,Once Upon A Deadpool | Official Trailer,554K views,3 years ago,0:59,"Nov 19, 2018","554,743",2900,1529
138,3 Facts About Hugh Jackman,732K views,3 years ago,0:43,"Nov 2, 2018","732,998",4000,661
139,Ryan Reynolds & Richard Branson | Announcement,985K views,3 years ago,1:37,"Sep 25, 2018","985,594",2800,909
140,6 Underground,21M views,3 years ago,0:25,"Sep 20, 2018","21,757,888",87500,15241
141,Deadpool 2 | Don't Skimp On The Powder,248K views,3 years ago,0:39,"Aug 22, 2018","248,997",1100,302
142,Deadpool No. 2,287K views,3 years ago,0:39,"Aug 7, 2018","287,647",2000,659
143,Ryan Reynolds’ Twin Returns | Aviation Gin,3.2M views,4 years ago,2:44,"Jun 8, 2018","3,216,323",9600,2169
144,Deadpool 2 Thanks You,557K views,4 years ago,1:09,"May 25, 2018","557,005",3500,1849
145,Deadpool 2 - The First 10 Years,398K views,4 years ago,1:26,"May 17, 2018","398,458",2900,805
146,Deadpool 2 | With Apologies to David Beckham,11M views,4 years ago,1:47,"May 10, 2018","11,601,934",26000,2931
147,Deadpool 2 | Eur Missing a Country,273K views,4 years ago,0:59,"May 9, 2018","273,598",1900,737
148,Deadpool 2: The Final Trailer,338K views,4 years ago,2:24,"Apr 19, 2018","338,718",2700,2002
149,A Very Special Message from Deadpool,8.6M views,4 years ago,1:14,"Apr 4, 2018","8,634,696",38100,8554
150,Deadpool 2 | The Trailer,654K views,4 years ago,2:40,"Mar 22, 2018","654,204",2800,1601
151,"Deadpool, Meet Cable",1.4M views,4 years ago,2:11,"Feb 7, 2018","1,425,260",4700,2659
152,Deadpool - Brazil Comic Con Tattoos,378K views,4 years ago,2:15,"Dec 5, 2017","378,607",2100,707
153,Deadpool’s “Wet on Wet” Teaser,3.3M views,4 years ago,2:10,"Nov 15, 2017","3,349,593",16200,3077
154,No Good Deed,30M views,5 years ago,3:42,"Mar 4, 2017","30,614,192",67300,25971
155,“Regenerate the Meowgic” #Monthiversary,524K views,6 years ago,0:33,"Mar 12, 2016","524,115",1600,549
156,Why Deadpool won’t be hosting SNL,6.5M views,6 years ago,0:44,"Feb 20, 2016","6,531,553",8100,2692
157,I Crashed the Eddie the Eagle Junket,4.6M views,6 years ago,3:02,"Feb 16, 2016","4,603,431",7200,1894
158,Cat-astrophe Averted,803K views,6 years ago,0:28,"Feb 13, 2016","803,854",2200,617
159,Best. Review. EVER.,1.7M views,6 years ago,0:40,"Feb 12, 2016","1,718,698",8100,1682
160,Touch Yourself Tonight: Just for Her,686K views,6 years ago,1:51,"Jan 30, 2016","686,382",1400,457
161,Touch Yourself Tonight,2.6M views,6 years ago,1:08,"Jan 28, 2016","2,645,721",4100,1177
162,#Deadpool - Shameless Bachelor-bating TV Spot,272K views,6 years ago,0:31,"Jan 18, 2016","272,239",6400,82
163,💀💩L TV Spot 2,167K views,6 years ago,0:31,"Jan 18, 2016","167,534",4500,189
164,New TV Spot. Is that a helicarrier?,220K views,6 years ago,0:31,"Jan 17, 2016","220,889",5500,185
165,Deadpool's Empire magazine infomercial,737K views,6 years ago,1:43,"Dec 29, 2015","737,480",2100,767
166,The 'Pool Log,656K views,6 years ago,1:09:05,"Dec 24, 2015","656,643",1400,854
167,How Deadpool Spent Halloween,9.2M views,6 years ago,1:37,"Nov 4, 2015","9,271,919",26200,6448
